,usaf,name,state,lat,lon
414,720865,HUTSON FIELD AIRPORT,ND,48.405,-97.371
415,720866,MERCER COUNTY REGIONAL AIRPOR,ND,47.29,-101.581
416,720871,MANDAN MUNICIPAL AIRPORT,ND,46.768,-100.894
417,722857,WALHALLA MUNICIPAL AIRPORT,ND,48.941,-97.903
418,722320,BATON ROUGE METRO RYAN FIELD,LA,30.537,-91.147
419,720447,KYLE OAKLEY FIELD AIRPORT,KY,36.665,-88.373
426,703888,SHAKTOOLIK AIRPORT,AK,64.37,-161.224
427,998435,OGDENSBURG,NY,44.703,-75.495
428,720193,LONNIE POOL FIELD WEAVERVILLE,CA,40.747,-122.922
429,720773,COURTLAND AIRPORT,AL,34.659,-87.349
430,720772,MORIARTY AIRPORT,NM,34.986,-106.009
431,720771,COLEMAN MUNICIPAL AIRPORT,TX,31.841,-99.404
437,720768,LEE COUNTY AIRPORT,VA,36.654,-83.218
438,725061,OTIS ANGB AIRPORT,MA,41.65,-70.517
439,720747,ELK MOUNTAIN,WY,41.733,-106.467
448,998429,NOKOLSKI,AK,52.941,-168.871
449,998426,HATTERAS,NC,35.208,-75.703
457,998428,OCEAN GROVE,NJ,40.209,-74.004
460,720712,HENRY TIFT MYERS AIRPORT,GA,31.429,-83.489
464,722720,BISBEE DOUGLAS INTL ARPT,AZ,31.458,-109.606
465,723290,CAPE GIRARDEAU RGNL ARPT,MO,37.225,-89.571
466,724270,OAK RIDGE,TN,36.023,-84.234
467,724770,EUREKA,NV,39.601,-116.006
468,724950,BUCHANAN FIELD AIRPORT,CA,37.992,-122.055
469,725850,HAYWARD EXECUTIVE AIRPORT,CA,37.654,-122.115
470,726560,PIERRE REGIONAL AIRPORT,SD,44.381,-100.286
471,726690,RAWLINS MUNI/HARVEY FIELD ARP,WY,41.8,-107.2
472,727570,GRAND FORKS INTERNATIONAL AIR,ND,47.943,-97.184
473,727870,DEER PARK AIRPORT,WA,47.974,-117.429
474,747930,VERO BEACH MUNICIPAL AIRPORT,FL,27.651,-80.42
475,726070,BANGOR INTERNATIONAL ARPT,ME,44.798,-68.819
477,998425,CORDOVA,AK,60.557,-145.755
478,998427,KODIAK ISLAND,AK,57.73,-152.514
479,998430,SEWARD,AK,60.12,-149.427
480,998431,UNALASKA,AK,53.879,-166.54
481,998432,YAKUTAT,AK,59.548,-139.733
484,720744,PICKENS COUNTY AIRPORT,SC,34.817,-82.7
490,998409,ANNAPOLIS,MD,38.983,-76.48
491,720549,CARSON AIRPORT,NV,39.183,-119.733
492,998339,MOUTH OF BLACK RIVER,MI,42.975,-82.419
493,746410,GAGE AIRPORT,OK,36.297,-99.769
494,998408,USS MIDWAY S NAVY PIER,CA,32.714,-117.175
495,998407,HOLLAND,MI,42.768,-86.201
497,720742,FAITH RANCH AIRPORT,TX,28.209,-100.019
498,720743,SOUTH PADRE ISLAND HELIPORT,TX,26.067,-97.15
504,720741,BOULDER MUNICIPAL AIRPORT,NV,35.947,-114.861
507,722704,BIGGS AAF / FT BLISS TEXAS US,TX,31.85,-106.38
508,720737,CARRINGTON MUNICIPAL AIRPORT,ND,47.451,-99.151
509,720738,THOMASVILLE REGIONAL AIRPORT,GA,30.902,-83.881
510,720736,FULTON COUNTY AIRPORT,IN,41.066,-86.182
511,720426,INDEPENDENT MUNICIPAL AIRPORT,KS,37.158,-95.778
513,994062,GREEN BAY ENTRANCE LIGHT,WI,44.655,-87.902
514,720731,MUSTANG ISLAND 31            ,TX,27.283,-96.733
515,720729,BRAZOS 451 OILP              ,TX,28.5,-95.716
517,720498,CHESTERFIELD COUNTY AIRPORT,VA,37.4,-77.517
519,720734,NAMPA MUNICIPAL AIRPORT,ID,43.581,-116.523
523,720732,MUSTANG ISLAND A85A          ,TX,27.733,-96.183
524,723653,ALBUQUERQUE RADAR,NM,35.167,-106.567
526,720733,BOERNE STAGE FLD,TX,29.724,-98.695
529,720726,GALVESTON 424 OIL PLATFORM   ,TX,28.577,-94.977
530,720727,HIGH ISLAND 376              ,TX,27.962,-93.671
531,720725,BRAZOS 133B                  ,TX,28.058,-95.872
535,720717,WEST DELTA 27A               ,MS,29.117,-89.55
536,720718,MISSISSIPPI CANYON 311 A     ,LA,28.643,-89.794
537,720719,EAST CAMERON 278 OIL PLATFORM,LA,28.433,-92.883
538,720721,SABINE OIL PLATFORM,LA,29.483,-93.633
539,720722,SOUTH MARSH 268 OIL PLATFORM ,LA,29.117,-91.867
540,720723,VERMILLION 26 OIL PLATFORM   ,LA,29.467,-92.367
541,720724,BELEN RGNL ARPT,NM,34.646,-106.836
549,720963,MCGREGOR RANGE BASE CAMP,NM,32.079,-106.153
550,720714,PAULDING NORTHWEST ATLANTA AI,GA,33.912,-84.941
551,720565,HEBER CITY MUNICIPAL AIRPORT,UT,40.482,-111.429
552,994061,CHEYBOGAN GLOS WEATHER STATIO,MI,45.651,-84.472
553,720528,CENTRAL COLORADO REGIONAL AP,CO,38.698,-106.07
554,994063,PRESQUE ISLE LIGHT GLOS WEATH,MI,45.356,-83.492
555,994064,STURGEON POINT LIGHT GLOS WEA,MI,44.713,-83.273
556,994065,TAWAS CITY GLOS WEATHER STATI,MI,44.256,-83.443
557,994066,WHITEFISH POINT GLOS WEATHER,MI,46.762,-84.966
558,998268,TENAKEE SPRINGS,AK,57.783,-135.217
559,720713,DARKE COUNTY AIRPORT,OH,40.204,-84.532
560,720701,OSCEOLA MUNICIPAL AIRPORT,IA,41.052,-93.689
568,720533,BOULDER MUNICIPAL AIRPORT,CO,40.033,-105.217
569,720674,WEST GEORGIA REGIONAL AIRPORT,GA,33.633,-85.15
570,723745,PAYSON AIRPORT,AZ,34.257,-111.339
